0x80000148:sub    s11,t3,t4           s11=0x00000000-0x00000000=0x00000000
0x8000014c:sub    t5,t6,zero          t5=0x00000000-0x00000000=0x00000000
0x80000150:sub    ra,sp,gp            ra=0x00000022-0x00000099=0xffffff89
0x80000154:sub    tp,t0,t1            tp=0x00000055-0x000000ff=0xffffff56
0x80000158:sub    t2,s0,s1            t2=0x00000088-0x00000055=0x00000033
0x8000015c:sub    a0,a1,a2            a0=0x00000033-0x000000bb=0xffffff78
0x80000160:sub    a3,a4,a5            a3=0x00000066-0x00000088=0xffffffde
0x80000164:sll    a6,a7,s2            a6=0x00000000<<0=0x00000000
0x80000168:sll    s3,s4,s5            s3=0x00000000<<0=0x00000000
0x8000016c:sll    s6,s7,s8            s6=0x00000000<<0=0x00000000
0x80000170:sll    s9,s10,s11          s9=0x00000000<<0=0x00000000
0x80000174:sll    t3,t4,t5            t3=0x00000000<<0=0x00000000
0x80000178:sll    t6,zero,ra          t6=0x00000000<<9=0x00000000
0x8000017c:sll    sp,gp,tp            sp=0x00000099<<22=0x26400000
0x80000180:sll    t0,t1,t2            t0=0x000000ff<<19=0x07f80000
0x80000184:slt    s0,s1,a0            s0=(0x00000055<0xffffff78)=0
0x80000188:slt    a1,a2,a3            a1=(0x000000bb<0xffffffde)=0
0x8000018c:slt    a4,a5,a6            a4=(0x00000088<0x00000000)=0
0x80000190:slt    a7,s2,s3            a7=(0x00000000<0x00000000)=0
0x80000194:slt    s4,s5,s6            s4=(0x00000000<0x00000000)=0
0x80000198:slt    s7,s8,s9            s7=(0x00000000<0x00000000)=0
0x8000019c:slt    s10,s11,t3          s10=(0x00000000<0x00000000)=0
0x800001a0:slt    t4,t5,t6            t4=(0x00000000<0x00000000)=0
0x800001a4:sltu   zero,ra,sp          zero=(0xffffff89<0x26400000)=0
0x800001a8:sltu   gp,tp,t0            gp=(0xffffff56<0x07f80000)=0
0x800001ac:sltu   t1,t2,s0            t1=(0x00000033<0x00000000)=0
0x800001b0:sltu   s1,a0,a1            s1=(0xffffff78<0x00000000)=0
0x800001b4:sltu   a2,a3,a4            a2=(0xffffffde<0x00000000)=0
0x800001b8:sltu   a5,a6,a7            a5=(0x00000000<0x00000000)=0
0x800001bc:sltu   s2,s3,s4            s2=(0x00000000<0x00000000)=0
0x800001c0:sltu   s5,s6,s7            s5=(0x00000000<0x00000000)=0
0x800001c4:xor    s8,s9,s10           s8=0x00000000^0x00000000=0x00000000
0x800001c8:xor    s11,t3,t4           s11=0x00000000^0x00000000=0x00000000
0x800001cc:xor    t5,t6,zero          t5=0x00000000^0x00000000=0x00000000
0x800001d0:xor    ra,sp,gp            ra=0x26400000^0x00000000=0x26400000
0x800001d4:xor    tp,t0,t1            tp=0x07f80000^0x00000000=0x07f80000
0x800001d8:xor    t2,s0,s1            t2=0x00000000^0x00000000=0x00000000
0x800001dc:xor    a0,a1,a2            a0=0x00000000^0x00000000=0x00000000
0x800001e0:xor    a3,a4,a5            a3=0x00000000^0x00000000=0x00000000
0x800001e4:srl    a6,a7,s2            a6=0x00000000>>0=0x00000000
0x800001e8:srl    s3,s4,s5            s3=0x00000000>>0=0x00000000
0x800001ec:srl    s6,s7,s8            s6=0x00000000>>0=0x00000000
0x800001f0:srl    s9,s10,s11          s9=0x00000000>>0=0x00000000
0x800001f4:srl    t3,t4,t5            t3=0x00000000>>0=0x00000000
0x800001f8:srl    t6,zero,ra          t6=0x00000000>>0=0x00000000
0x800001fc:srl    sp,gp,tp            sp=0x00000000>>0=0x00000000
0x80000200:srl    t0,t1,t2            t0=0x00000000>>0=0x00000000
0x80000204:sra    s0,s1,a0            s0=0x00000000>>>0=0x00000000
0x80000208:sra    a1,a2,a3            a1=0x00000000>>>0=0x00000000
0x8000020c:sra    a4,a5,a6            a4=0x00000000>>>0=0x00000000
0x80000210:sra    a7,s2,s3            a7=0x00000000>>>0=0x00000000
0x80000214:sra    s4,s5,s6            s4=0x00000000>>>0=0x00000000
0x80000218:sra    s7,s8,s9            s7=0x00000000>>>0=0x00000000
0x8000021c:sra    s10,s11,t3          s10=0x00000000>>>0=0x00000000
0x80000220:sra    t4,t5,t6            t4=0x00000000>>>0=0x00000000
0x80000224:or     zero,ra,sp          zero=0x26400000|0x00000000=0x26400000
0x80000228:or     gp,tp,t0            gp=0x07f80000|0x00000000=0x07f80000
0x8000022c:or     t1,t2,s0            t1=0x00000000|0x00000000=0x00000000
0x80000230:or     s1,a0,a1            s1=0x00000000|0x00000000=0x00000000
0x80000234:or     a2,a3,a4            a2=0x00000000|0x00000000=0x00000000
0x80000238:or     a5,a6,a7            a5=0x00000000|0x00000000=0x00000000
0x8000023c:or     s2,s3,s4            s2=0x00000000|0x00000000=0x00000000
0x80000240:or     s5,s6,s7            s5=0x00000000|0x00000000=0x00000000
0x80000244:and    s8,s9,s10           s8=0x00000000&0x00000000=0x00000000
0x80000248:and    s11,t3,t4           s11=0x00000000&0x00000000=0x00000000
0x8000024c:and    t5,t6,zero          t5=0x00000000&0x00000000=0x00000000
0x80000250:and    ra,sp,gp            ra=0x00000000&0x07f80000=0x00000000
0x80000254:and    tp,t0,t1            tp=0x00000000&0x00000000=0x00000000
0x80000258:and    t2,s0,s1            t2=0x00000000&0x00000000=0x00000000
0x8000025c:and    a0,a1,a2            a0=0x00000000&0x00000000=0x00000000
0x80000260:and    a3,a4,a5            a3=0x00000000&0x00000000=0x00000000
0x80000264:mul    a6,a7,s2            a6=0x00000000*0x00000000=0x00000000
0x80000268:mul    s3,s4,s5            s3=0x00000000*0x00000000=0x00000000
0x8000026c:mul    s6,s7,s8            s6=0x00000000*0x00000000=0x00000000
0x80000270:mul    s9,s10,s11          s9=0x00000000*0x00000000=0x00000000
0x80000274:mul    t3,t4,t5            t3=0x00000000*0x00000000=0x00000000
0x80000278:mul    t6,zero,ra          t6=0x00000000*0x00000000=0x00000000
0x8000027c:mul    sp,gp,tp            sp=0x07f80000*0x00000000=0x00000000
0x80000280:mul    t0,t1,t2            t0=0x00000000*0x00000000=0x00000000
0x80000284:mulh   s0,s1,a0            s0=0x00000000*0x00000000=0x00000000
0x80000288:mulh   a1,a2,a3            a1=0x00000000*0x00000000=0x00000000
0x8000028c:mulh   a4,a5,a6            a4=0x00000000*0x00000000=0x00000000
0x80000290:mulh   a7,s2,s3            a7=0x00000000*0x00000000=0x00000000
0x80000294:mulh   s4,s5,s6            s4=0x00000000*0x00000000=0x00000000
0x80000298:mulh   s7,s8,s9            s7=0x00000000*0x00000000=0x00000000
0x8000029c:mulh   s10,s11,t3          s10=0x00000000*0x00000000=0x00000000
0x800002a0:mulh   t4,t5,t6            t4=0x00000000*0x00000000=0x00000000
0x800002a4:mulhsu zero,ra,sp          zero=0x00000000*0x00000000=0x00000000
0x800002a8:mulhsu gp,tp,t0            gp=0x00000000*0x00000000=0x00000000
0x800002ac:mulhsu t1,t2,s0            t1=0x00000000*0x00000000=0x00000000
0x800002b0:mulhsu s1,a0,a1            s1=0x00000000*0x00000000=0x00000000
0x800002b4:mulhsu a2,a3,a4            a2=0x00000000*0x00000000=0x00000000
0x800002b8:mulhsu a5,a6,a7            a5=0x00000000*0x00000000=0x00000000
0x800002bc:mulhsu s2,s3,s4            s2=0x00000000*0x00000000=0x00000000
0x800002c0:mulhsu s5,s6,s7            s5=0x00000000*0x00000000=0x00000000
0x800002c4:mulhu  s8,s9,s10           s8=0x00000000*0x00000000=0x00000000
0x800002c8:mulhu  s11,t3,t4           s11=0x00000000*0x00000000=0x00000000
0x800002cc:mulhu  t5,t6,zero          t5=0x00000000*0x00000000=0x00000000
0x800002d0:mulhu  ra,sp,gp            ra=0x00000000*0x00000000=0x00000000
0x800002d4:mulhu  tp,t0,t1            tp=0x00000000*0x00000000=0x00000000
0x800002d8:mulhu  t2,s0,s1            t2=0x00000000*0x00000000=0x00000000
0x800002dc:mulhu  a0,a1,a2            a0=0x00000000*0x00000000=0x00000000
0x800002e0:mulhu  a3,a4,a5            a3=0x00000000*0x00000000=0x00000000
0x800002e4:addi   ra,zero,0x064       ra=0x00000000+0x00000064=0x00000064
0x800002e8:addi   sp,zero,0x001       sp=0x00000000+0x00000001=0x00000001
0x800002ec:div    gp,ra,sp            gp=0x00000064/0x00000001=0x00000064
0x800002f0:addi   ra,zero,0x065       ra=0x00000000+0x00000065=0x00000065
0x800002f4:addi   sp,zero,0x002       sp=0x00000000+0x00000002=0x00000002
0x800002f8:div    tp,ra,sp            tp=0x00000065/0x00000002=0x00000032
0x800002fc:addi   ra,zero,0x066       ra=0x00000000+0x00000066=0x00000066
0x80000300:addi   sp,zero,0x003       sp=0x00000000+0x00000003=0x00000003
0x80000304:div    t0,ra,sp            t0=0x00000066/0x00000003=0x00000022
0x80000308:addi   ra,zero,0x067       ra=0x00000000+0x00000067=0x00000067
0x8000030c:addi   sp,zero,0x004       sp=0x00000000+0x00000004=0x00000004
0x80000310:div    t1,ra,sp            t1=0x00000067/0x00000004=0x00000019
0x80000314:addi   ra,zero,0x068       ra=0x00000000+0x00000068=0x00000068
0x80000318:addi   sp,zero,0x005       sp=0x00000000+0x00000005=0x00000005
0x8000031c:div    t2,ra,sp            t2=0x00000068/0x00000005=0x00000014
0x80000320:addi   ra,zero,0x069       ra=0x00000000+0x00000069=0x00000069
0x80000324:addi   sp,zero,0x006       sp=0x00000000+0x00000006=0x00000006
0x80000328:div    s0,ra,sp            s0=0x00000069/0x00000006=0x00000011
0x8000032c:addi   ra,zero,0x06a       ra=0x00000000+0x0000006a=0x0000006a
0x80000330:addi   sp,zero,0x007       sp=0x00000000+0x00000007=0x00000007
0x80000334:div    s1,ra,sp            s1=0x0000006a/0x00000007=0x0000000f
0x80000338:addi   ra,zero,0x06b       ra=0x00000000+0x0000006b=0x0000006b
0x8000033c:addi   sp,zero,0x008       sp=0x00000000+0x00000008=0x00000008
0x80000340:div    a0,ra,sp            a0=0x0000006b/0x00000008=0x0000000d
0x80000344:addi   ra,zero,0x064       ra=0x00000000+0x00000064=0x00000064
0x80000348:addi   sp,zero,0x001       sp=0x00000000+0x00000001=0x00000001
0x8000034c:divu   a1,ra,sp            a1=0x00000064/0x00000001=0x00000064
0x80000350:addi   ra,zero,0x065       ra=0x00000000+0x00000065=0x00000065
0x80000354:addi   sp,zero,0x002       sp=0x00000000+0x00000002=0x00000002
0x80000358:divu   a2,ra,sp            a2=0x00000065/0x00000002=0x00000032
0x8000035c:addi   ra,zero,0x066       ra=0x00000000+0x00000066=0x00000066
0x80000360:addi   sp,zero,0x003       sp=0x00000000+0x00000003=0x00000003
0x80000364:divu   a3,ra,sp            a3=0x00000066/0x00000003=0x00000022
0x80000368:addi   ra,zero,0x067       ra=0x00000000+0x00000067=0x00000067
0x8000036c:addi   sp,zero,0x004       sp=0x00000000+0x00000004=0x00000004
0x80000370:divu   a4,ra,sp            a4=0x00000067/0x00000004=0x00000019
0x80000374:addi   ra,zero,0x068       ra=0x00000000+0x00000068=0x00000068
0x80000378:addi   sp,zero,0x005       sp=0x00000000+0x00000005=0x00000005
0x8000037c:divu   a5,ra,sp            a5=0x00000068/0x00000005=0x00000014
0x80000380:addi   ra,zero,0x069       ra=0x00000000+0x00000069=0x00000069
0x80000384:addi   sp,zero,0x006       sp=0x00000000+0x00000006=0x00000006
0x80000388:divu   a6,ra,sp            a6=0x00000069/0x00000006=0x00000011
0x8000038c:addi   ra,zero,0x06a       ra=0x00000000+0x0000006a=0x0000006a
0x80000390:addi   sp,zero,0x007       sp=0x00000000+0x00000007=0x00000007
0x80000394:divu   a7,ra,sp            a7=0x0000006a/0x00000007=0x0000000f
0x80000398:addi   ra,zero,0x06b       ra=0x00000000+0x0000006b=0x0000006b
0x8000039c:addi   sp,zero,0x008       sp=0x00000000+0x00000008=0x00000008
0x800003a0:divu   s2,ra,sp            s2=0x0000006b/0x00000008=0x0000000d
0x800003a4:addi   ra,zero,0x064       ra=0x00000000+0x00000064=0x00000064
0x800003a8:addi   sp,zero,0x001       sp=0x00000000+0x00000001=0x00000001
0x800003ac:rem    s3,ra,sp            s3=0x00000064%0x00000001=0x00000000
0x800003b0:addi   ra,zero,0x065       ra=0x00000000+0x00000065=0x00000065
0x800003b4:addi   sp,zero,0x002       sp=0x00000000+0x00000002=0x00000002
0x800003b8:rem    s4,ra,sp            s4=0x00000065%0x00000002=0x00000001
0x800003bc:addi   ra,zero,0x066       ra=0x00000000+0x00000066=0x00000066
0x800003c0:addi   sp,zero,0x003       sp=0x00000000+0x00000003=0x00000003
0x800003c4:rem    s5,ra,sp            s5=0x00000066%0x00000003=0x00000000
0x800003c8:addi   ra,zero,0x067       ra=0x00000000+0x00000067=0x00000067
0x800003cc:addi   sp,zero,0x004       sp=0x00000000+0x00000004=0x00000004
0x800003d0:rem    s6,ra,sp            s6=0x00000067%0x00000004=0x00000003
0x800003d4:addi   ra,zero,0x068       ra=0x00000000+0x00000068=0x00000068
0x800003d8:addi   sp,zero,0x005       sp=0x00000000+0x00000005=0x00000005
0x800003dc:rem    s7,ra,sp            s7=0x00000068%0x00000005=0x00000004
0x800003e0:addi   ra,zero,0x069       ra=0x00000000+0x00000069=0x00000069
0x800003e4:addi   sp,zero,0x006       sp=0x00000000+0x00000006=0x00000006
0x800003e8:rem    s8,ra,sp            s8=0x00000069%0x00000006=0x00000003
0x800003ec:addi   ra,zero,0x06a       ra=0x00000000+0x0000006a=0x0000006a
0x800003f0:addi   sp,zero,0x007       sp=0x00000000+0x00000007=0x00000007
0x800003f4:rem    s9,ra,sp            s9=0x0000006a%0x00000007=0x00000001
0x800003f8:addi   ra,zero,0x06b       ra=0x00000000+0x0000006b=0x0000006b
0x800003fc:addi   sp,zero,0x008       sp=0x00000000+0x00000008=0x00000008
0x80000400:rem    s10,ra,sp           s10=0x0000006b%0x00000008=0x00000003
0x80000404:addi   ra,zero,0x064       ra=0x00000000+0x00000064=0x00000064
0x80000408:addi   sp,zero,0x001       sp=0x00000000+0x00000001=0x00000001
0x8000040c:remu   s11,ra,sp           s11=0x00000064%0x00000001=0x00000000
0x80000410:addi   ra,zero,0x065       ra=0x00000000+0x00000065=0x00000065
0x80000414:addi   sp,zero,0x002       sp=0x00000000+0x00000002=0x00000002
0x80000418:remu   t3,ra,sp            t3=0x00000065%0x00000002=0x00000001
