0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000dc:mul    t0,t0,a0            t0=0x00000006*0x00000004=0x00000018
0x800000e0:lw     ra,0x000(sp)        ra=mem[0x80007fd0]=0x800000d8
0x800000e4:addi   sp,sp,0x010         sp=0x80007fd0+0x00000010=0x80007fe0
0x800000e8:addi   a0,t0,0x000         a0=0x00000018+0x00000000=0x00000018
0x800000ec:jalr   zero,ra,0x000       pc=0x800000d8+0x00000000,zero=0x800000f0
0x800000d8:lw     a0,0x004(sp)        a0=mem[0x80007fe4]=0x00000005
0x800000dc:mul    t0,t0,a0            t0=0x00000018*0x00000005=0x00000078
0x800000e0:lw     ra,0x000(sp)        ra=mem[0x80007fe0]=0x80000100
0x800000e4:addi   sp,sp,0x010         sp=0x80007fe0+0x00000010=0x80007ff0
0x800000e8:addi   a0,t0,0x000         a0=0x00000078+0x00000000=0x00000078
0x800000ec:jalr   zero,ra,0x000       pc=0x80000100+0x00000000,zero=0x800000f0
0x80000100:lw     ra,0x000(sp)        ra=mem[0x80007ff0]=0x800000b0
0x80000104:addi   sp,sp,0x010         sp=0x80007ff0+0x00000010=0x80008000
0x80000108:addi   a0,zero,0x000       a0=0x00000000+0x00000000=0x00000000
0x8000010c:jalr   zero,ra,0x000       pc=0x800000b0+0x00000000,zero=0x80000110
0x800000b0:jal    zero,0xfffd8        pc=0x80000060,zero=0x800000b4
0x80000060:addi   sp,sp,0xff0         sp=0x80008000+0xfffffff0=0x80007ff0
0x80000064:sw     a0,0x004(sp)        mem[0x80007ff4]=0x00000000
0x80000068:addi   a0,zero,0x020       a0=0x00000000+0x00000020=0x00000020
0x8000006c:lui    a1,0x00020          a1=0x00020000
0x80000070:addi   a1,a1,0x026         a1=0x00020000+0x00000026=0x00020026
0x80000074:sw     a1,0x000(sp)        mem[0x80007ff0]=0x00020026
0x80000078:add    a1,zero,sp          a1=0x00000000+0x80007ff0=0x80007ff0
0x8000007c:jal    ra,0x0000a          pc=0x80000090,ra=0x80000080
0x80000090:slli   zero,zero,31        zero=0x00000000<<31=0x00000000
0x80000094:ebreak
